"location","date","new_cases"
"Australia",2020-08-25,151
"Australia",2020-08-26,118
"Australia",2020-08-27,126
"Australia",2020-08-28,99
"Australia",2020-08-29,123
"Australia",2020-08-30,76
"Australia",2020-08-31,73
"Australia",2020-09-01,104
"Australia",2020-09-02,126
"Australia",2020-09-03,87
"Australia",2020-09-04,71
"Australia",2020-09-05,71
"Australia",2020-09-06,43
"Australia",2020-09-07,52
"Australia",2020-09-08,92
"Australia",2020-09-09,59
"Australia",2020-09-10,40
"Australia",2020-09-11,43
"Australia",2020-09-12,44
"Australia",2020-09-13,41
"Australia",2020-09-14,47
"Australia",2020-09-15,39
"Australia",2020-09-16,35
"Australia",2020-09-17,48
"Australia",2020-09-18,24
"Australia",2020-09-19,13
"Australia",2020-09-20,14
"Australia",2020-09-21,30
"Australia",2020-09-22,30
"Australia",2020-09-23,8
"Australia",2020-09-24,20
"Australia",2020-09-25,16
"Australia",2020-09-26,24
"Australia",2020-09-27,4
"Australia",2020-09-28,11
"Australia",2020-09-29,23
"Australia",2020-09-30,18
"Australia",2020-10-01,13
"Australia",2020-10-02,12
"Australia",2020-10-03,14
"Australia",2020-10-04,13
"Australia",2020-10-05,25
"Australia",2020-10-06,8
"Australia",2020-10-07,25
"Australia",2020-10-08,20
"Australia",2020-10-09,18
"Australia",2020-10-10,19
"Australia",2020-10-11,22
"Australia",2020-10-12,25
"Australia",2020-10-13,27
"Australia",2020-10-14,20
"Australia",2020-10-15,14
"Australia",2020-10-16,7
"Australia",2020-10-17,12
"Australia",2020-10-18,9
"Australia",2020-10-19,6
"Australia",2020-10-20,38
"Australia",2020-10-21,15
"Australia",2020-10-22,18
"Australia",2020-10-23,19
"Australia",2020-10-24,18
"Australia",2020-10-25,12
"Australia",2020-10-26,14
"Australia",2020-10-27,14
"Australia",2020-10-28,12
"Australia",2020-10-29,14
"Australia",2020-10-30,6
"Australia",2020-10-31,10
"Australia",2020-11-01,6
"Australia",2020-11-02,9
"Australia",2020-11-03,12
"Australia",2020-11-04,8
"Australia",2020-11-05,14
"Australia",2020-11-06,8
"Australia",2020-11-07,6
"Australia",2020-11-08,7
"Australia",2020-11-09,4
"Australia",2020-11-10,2
"Australia",2020-11-11,4
"Australia",2020-11-12,1
"Australia",2020-11-13,6
"Australia",2020-11-14,29
"Australia",2020-11-15,38
"Australia",2020-11-16,9
"Australia",2020-11-17,19
"Australia",2020-11-18,8
"Australia",2020-11-19,7
"Australia",2020-11-20,14
"Australia",2020-11-21,15
"Australia",2020-11-22,13
"Australia",2020-11-23,9
"Australia",2020-11-24,10
"Australia",2020-11-25,12
"Australia",2020-11-26,8
"Australia",2020-11-27,13
"Australia",2020-11-28,6
"Australia",2020-11-29,10
"Australia",2020-11-30,10
"Australia",2020-12-01,11
"Australia",2020-12-02,16
"Australia",2020-12-03,10
"Australia",2020-12-04,7
"Australia",2020-12-05,9
"Australia",2020-12-06,7
"Australia",2020-12-07,15
"Australia",2020-12-08,6
"Australia",2020-12-09,7
"Australia",2020-12-10,11
"Australia",2020-12-11,14
"Australia",2020-12-12,5
"Australia",2020-12-13,7
"Australia",2020-12-14,11
"Australia",2020-12-15,12
"Australia",2020-12-16,12
"Australia",2020-12-17,21
"Australia",2020-12-18,33
"Australia",2020-12-19,42
"Australia",2020-12-20,30
"Australia",2020-12-21,21
"Australia",2020-12-22,18
"Australia",2020-12-23,25
"Australia",2020-12-24,12
"Australia",2020-12-25,23
"Australia",2020-12-26,11
"Australia",2020-12-27,29
"Australia",2020-12-28,12
"Australia",2020-12-29,32
"Australia",2020-12-30,24
"Australia",2020-12-31,20
"Australia",2021-01-01,35
"Australia",2021-01-02,24
"Australia",2021-01-03,20
"Australia",2021-01-04,13
"Australia",2021-01-05,19
"Australia",2021-01-06,10
"Australia",2021-01-07,25
"Australia",2021-01-08,11
"Australia",2021-01-09,13
"Australia",2021-01-10,19
"Australia",2021-01-11,20
"Australia",2021-01-12,16
"Australia",2021-01-13,10
"Australia",2021-01-14,9
"Australia",2021-01-15,20
"Australia",2021-01-16,19
"Australia",2021-01-17,13
"Australia",2021-01-18,10
"Australia",2021-01-19,9
"Australia",2021-01-20,9
"Australia",2021-01-21,6
"Australia",2021-01-22,5
"Australia",2021-01-23,6
"Australia",2021-01-24,11
"Australia",2021-01-25,3
"Australia",2021-01-26,6
"Australia",2021-01-27,8
"Australia",2021-01-28,5
"Australia",2021-01-29,7
"Australia",2021-01-30,5
"Australia",2021-01-31,7
"Australia",2021-02-01,5
"Australia",2021-02-02,6
"Australia",2021-02-03,9
"Australia",2021-02-04,4
"Australia",2021-02-05,6
"Australia",2021-02-06,3
"Australia",2021-02-07,6
"Australia",2021-02-08,3
"Australia",2021-02-09,11
"Australia",2021-02-10,8
"Australia",2021-02-11,8
"Australia",2021-02-12,5
"Australia",2021-02-13,6
"Australia",2021-02-14,2
"Australia",2021-02-15,5
"Australia",2021-02-16,6
"Australia",2021-02-17,1
"Australia",2021-02-18,6
"Australia",2021-02-19,2
"Australia",2021-02-20,6
"Australia",2021-02-21,4
"Australia",2021-02-22,7
"Australia",2021-02-23,2
"Australia",2021-02-24,8
"Australia",2021-02-25,10
"Australia",2021-02-26,8
"Australia",2021-02-27,5
"Australia",2021-02-28,8
"Australia",2021-03-01,8
"Australia",2021-03-02,10
"Australia",2021-03-03,11
"Australia",2021-03-04,14
"Australia",2021-03-05,8
"Australia",2021-03-06,5
"Australia",2021-03-07,12
"Australia",2021-03-08,15
"Australia",2021-03-09,13
"Australia",2021-03-10,16
"Australia",2021-03-11,12
"Australia",2021-03-12,10
"Australia",2021-03-13,5
"Australia",2021-03-14,13
"Australia",2021-03-15,7
"Australia",2021-03-16,17
"Australia",2021-03-17,12
"Australia",2021-03-18,17
"Australia",2021-03-19,9
"Australia",2021-03-20,4
"Australia",2021-03-21,10
"Australia",2021-03-22,5
"Australia",2021-03-23,10
"Australia",2021-03-24,9
"Australia",2021-03-25,9
"Australia",2021-03-26,13
"Australia",2021-03-27,7
"Australia",2021-03-28,17
"Australia",2021-03-29,20
"Australia",2021-03-30,8
"Australia",2021-03-31,18
"Australia",2021-04-01,11
"Australia",2021-04-02,8
"Australia",2021-04-03,7
"Australia",2021-04-04,9
"Australia",2021-04-05,8
"Australia",2021-04-06,14
"Australia",2021-04-07,6
"Australia",2021-04-08,5
"Australia",2021-04-09,6
"Australia",2021-04-10,9
"Australia",2021-04-11,14
"Australia",2021-04-12,10
"Australia",2021-04-13,21
"Australia",2021-04-14,19
"Australia",2021-04-15,15
"Australia",2021-04-16,15
"Australia",2021-04-17,20
"Australia",2021-04-18,14
"Australia",2021-04-19,23
"Australia",2021-04-20,20
"Australia",2021-04-21,18
"Australia",2021-04-22,44
"Australia",2021-04-23,15
"Australia",2021-04-24,10
"Australia",2021-04-25,17
"Australia",2021-04-26,37
"Australia",2021-04-27,33
"Australia",2021-04-28,23
"Australia",2021-04-29,25
"Australia",2021-04-30,13
"Australia",2021-05-01,13
"Australia",2021-05-02,14
"Australia",2021-05-03,12
"Australia",2021-05-04,15
"Australia",2021-05-05,19
"Australia",2021-05-06,9
"Australia",2021-05-07,13
"Australia",2021-05-08,16
"Australia",2021-05-09,9
"Australia",2021-05-10,7
"Australia",2021-05-11,8
"Australia",2021-05-12,9
"Australia",2021-05-13,2
"Australia",2021-05-14,7
"Australia",2021-05-15,11
"Australia",2021-05-16,3
"Australia",2021-05-17,5
"Australia",2021-05-18,9
"Australia",2021-05-19,3
"Australia",2021-05-20,4
"Australia",2021-05-21,4
"Australia",2021-05-22,4
"Australia",2021-05-23,12
"Australia",2021-05-24,10
"Australia",2021-05-25,17
"Australia",2021-05-26,17
"Australia",2021-05-27,11
"Australia",2021-05-28,9
"Australia",2021-05-29,13
"Australia",2021-05-30,9
"Australia",2021-05-31,13
"Australia",2021-06-01,6
"Australia",2021-06-02,13
"Australia",2021-06-03,4
"Australia",2021-06-04,16
"Australia",2021-06-05,16
"Australia",2021-06-06,18
"Australia",2021-06-07,14
"Australia",2021-06-08,5
"Australia",2021-06-09,15
"Australia",2021-06-10,3
"Australia",2021-06-11,6
"Australia",2021-06-12,14
"Australia",2021-06-13,14
"Australia",2021-06-14,11
"Australia",2021-06-15,13
"Australia",2021-06-16,15
"Australia",2021-06-17,8
"Australia",2021-06-18,13
"Australia",2021-06-19,9
"Australia",2021-06-20,24
"Australia",2021-06-21,11
"Australia",2021-06-22,14
"Australia",2021-06-23,24
"Australia",2021-06-24,20
"Australia",2021-06-25,33
"Australia",2021-06-26,42
"Australia",2021-06-27,29
"Australia",2021-06-28,32
"Australia",2021-06-29,42
"Australia",2021-06-30,41
"Australia",2021-07-01,41
"Australia",2021-07-02,50
"Australia",2021-07-03,19
"Australia",2021-07-04,51
"Australia",2021-07-05,27
"Australia",2021-07-06,30
"Australia",2021-07-07,42
"Australia",2021-07-08,48
"Australia",2021-07-09,64
"Australia",2021-07-10,85
"Australia",2021-07-11,121
"Australia",2021-07-12,102
"Australia",2021-07-13,106
"Australia",2021-07-14,84
"Australia",2021-07-15,113
"Australia",2021-07-16,145
"Australia",2021-07-17,128
"Australia",2021-07-18,117
"Australia",2021-07-19,104
"Australia",2021-07-20,146
"Australia",2021-07-21,160
"Australia",2021-07-22,156
"Australia",2021-07-23,171
"Australia",2021-07-24,165
"Australia",2021-07-25,164
"Australia",2021-07-26,184
"Australia",2021-07-27,207
"Australia",2021-07-28,253
"Australia",2021-07-29,183
"Australia",2021-07-30,221
"Australia",2021-07-31,253
"Australia",2021-08-01,229
"Australia",2021-08-02,224
"Australia",2021-08-03,253
"Australia",2021-08-04,302
"Australia",2021-08-05,307
"Australia",2021-08-06,353
"Australia",2021-08-07,277
"Australia",2021-08-08,302
"Australia",2021-08-09,380
"Australia",2021-08-10,367
"Australia",2021-08-11,372
"Australia",2021-08-12,416
"Australia",2021-08-13,493
"Australia",2021-08-14,439
"Australia",2021-08-15,518
"Australia",2021-08-16,482
"Australia",2021-08-17,677
"Australia",2021-08-18,747
"Australia",2021-08-19,707
"Australia",2021-08-20,891
"Australia",2021-08-21,907
"Australia",2021-08-22,894
"Australia",2021-08-23,834
"Australia",2021-08-24,971
"Australia",2021-08-25,1115
"Australia",2021-08-26,976
"Australia",2021-08-27,1119
"Australia",2021-08-28,1321
"Australia",2021-08-29,1355
"Australia",2021-08-30,1257
"Australia",2021-08-31,1225
"Australia",2021-09-01,1467
"Australia",2021-09-02,1648
"Australia",2021-09-03,1741
"Australia",2021-09-04,1670
"Australia",2021-09-05,1536
"Australia",2021-09-06,1466
"Australia",2021-09-07,1696
"Australia",2021-09-08,1725
"Australia",2021-09-09,1870
"Australia",2021-09-10,2075
"Australia",2021-09-11,1616
"Australia",2021-09-12,1720
"Australia",2021-09-13,1578
"Australia",2021-09-14,1643
"Australia",2021-09-15,1856
"Australia",2021-09-16,1800
"Australia",2021-09-17,1856
"Australia",2021-09-18,1572
"Australia",2021-09-19,1500
"Australia",2021-09-20,1582
"Australia",2021-09-21,1659
"Australia",2021-09-22,1809
"Australia",2021-09-23,1764
"Australia",2021-09-24,1865
"Australia",2021-09-25,1752
"Australia",2021-09-26,1472
"Australia",2021-09-27,1880
"Australia",2021-09-28,1812
"Australia",2021-09-29,2400
"Australia",2021-09-30,2058
"Australia",2021-10-01,2335
"Australia",2021-10-02,1872
"Australia",2021-10-03,2023
"Australia",2021-10-04,2389
"Australia",2021-10-05,2026
"Australia",2021-10-06,2216
"Australia",2021-10-07,2524
"Australia",2021-10-08,2515
"Australia",2021-10-09,2390
"Australia",2021-10-10,2096
"Australia",2021-10-11,1848
"Australia",2021-10-12,2029
"Australia",2021-10-13,2744
"Australia",2021-10-14,2532
"Australia",2021-10-15,2311
"Australia",2021-10-16,2173
"Australia",2021-10-17,2059
"Australia",2021-10-18,2038
"Australia",2021-10-19,2097
"Australia",2021-10-20,2544
"Australia",2021-10-21,2547
"Australia",2021-10-22,1883
"Australia",2021-10-23,2174
"Australia",2021-10-24,1684
"Australia",2021-10-25,1786
"Australia",2021-10-26,1850
"Australia",2021-10-27,2038
"Australia",2021-10-28,1886
"Australia",2021-10-29,1589
"Australia",2021-10-30,1185
"Australia",2021-10-31,1466
"Australia",2021-11-01,1135
"Australia",2021-11-02,1111
"Australia",2021-11-03,1537
"Australia",2021-11-04,1580
"Australia",2021-11-05,1534
"Australia",2021-11-06,1387
"Australia",2021-11-07,1264
"Australia",2021-11-08,1292
"Australia",2021-11-09,1201
"Australia",2021-11-10,1556
"Australia",2021-11-11,1414
"Australia",2021-11-12,1452
"Australia",2021-11-13,1115
"Australia",2021-11-14,995
"Australia",2021-11-15,1014
"Australia",2021-11-16,1228
"Australia",2021-11-17,1267
"Australia",2021-11-18,1505
"Australia",2021-11-19,1360
"Australia",2021-11-20,1465
"Australia",2021-11-21,1207
"Australia",2021-11-22,1002
"Australia",2021-11-23,1464
"Australia",2021-11-24,1527
"Australia",2021-11-25,1627
"Australia",2021-11-26,1480
"Australia",2021-11-27,1235
"Australia",2021-11-28,1155
"Australia",2021-11-29,1099
"Australia",2021-11-30,1417
"Australia",2021-12-01,1702
"Australia",2021-12-02,1522
"Australia",2021-12-03,1708
"Australia",2021-12-04,1249
"Australia",2021-12-05,1285
"Australia",2021-12-06,1434
"Australia",2021-12-07,1705
"Australia",2021-12-08,1654
"Australia",2021-12-09,1711
"Australia",2021-12-10,1757
"Australia",2021-12-11,1543
"Australia",2021-12-12,1843
"Australia",2021-12-13,1970
"Australia",2021-12-14,2809
"Australia",2021-12-15,3423
"Australia",2021-12-16,3802
"Australia",2021-12-17,4017
"Australia",2021-12-18,3862
"Australia",2021-12-19,4031
"Australia",2021-12-20,4492
"Australia",2021-12-21,5531
"Australia",2021-12-22,8357
"Australia",2021-12-23,8218
"Australia",2021-12-24,9855
"Australia",2021-12-25,9459
"Australia",2021-12-26,9884
"Australia",2021-12-27,11797
"Australia",2021-12-28,17678
"Australia",2021-12-29,21369
"Australia",2021-12-30,33811
"Australia",2021-12-31,30363
"Australia",2022-01-01,37459
"Australia",2022-01-02,29608
"Australia",2022-01-03,44745
"Australia",2022-01-04,71495
"Australia",2022-01-05,75426
"Australia",2022-01-06,78229
"Australia",2022-01-07,98092
"Australia",2022-01-08,111907
"Australia",2022-01-09,72834
"Australia",2022-01-10,93806
"Australia",2022-01-11,84408
"Australia",2022-01-12,175271
"Australia",2022-01-13,128185
"Australia",2022-01-14,86288
"Australia",2022-01-15,112867
"Australia",2022-01-16,59891
"Australia",2022-01-17,84355
"Australia",2022-01-18,84615
"Australia",2022-01-19,67604
"Australia",2022-01-20,63941
"Australia",2022-01-21,43166
"Australia",2022-01-22,67182
"Australia",2022-01-23,32234
"Australia",2022-01-24,58022
"Australia",2022-01-25,52920
"Australia",2022-01-26,51016
"Australia",2022-01-27,66223
"Australia",2022-01-28,65980
"Australia",2022-01-29,47258
"Australia",2022-01-30,36719
"Australia",2022-01-31,NA
"Australia",2022-02-01,40146
"Australia",2022-02-02,24228
"Australia",2022-02-03,32179
"Australia",2022-02-04,27336
"Australia",2022-02-05,22985
"Australia",2022-02-06,25247
"Australia",2022-02-07,27373
"Australia",2022-02-08,31510
"Australia",2022-02-09,11483
"Australia",2022-02-10,31250
"Australia",2022-02-11,22564
"Australia",2022-02-12,25607
"Australia",2022-02-13,12289
"Australia",2022-02-14,30913
"Australia",2022-02-15,24394
"Australia",2022-02-16,NA
"Australia",2022-02-17,22729
"Australia",2022-02-18,23217
"Australia",2022-02-19,17376
"Australia",2022-02-20,18219
"Australia",2022-02-21,25163
"Australia",2022-02-22,25229
"Australia",2022-02-23,24852
"Australia",2022-02-24,26670
"Australia",2022-02-25,19803
"Australia",2022-02-26,17543
"Australia",2022-02-27,21482
"Australia",2022-02-28,25418
"Australia",2022-03-01,21755
"Australia",2022-03-02,40012
"Australia",2022-03-03,25159
"Australia",2022-03-04,22716
"Australia",2022-03-05,17376
"Australia",2022-03-06,22182
"Australia",2022-03-07,44962
"Australia",2022-03-08,30691
"Australia",2022-03-09,36335
"Australia",2022-03-10,31689
"Australia",2022-03-11,35077
"Australia",2022-03-12,33495
"Australia",2022-03-13,26440
"Australia",2022-03-14,28803
"Australia",2022-03-15,54309
"Australia",2022-03-16,57148
"Australia",2022-03-17,49166
"Australia",2022-03-18,46952
"Australia",2022-03-19,40854
"Australia",2022-03-20,43230
"Australia",2022-03-21,53063
"Australia",2022-03-22,57556
"Australia",2022-03-23,59704
"Australia",2022-03-24,66782
"Australia",2022-03-25,47988
"Australia",2022-03-26,46749
"Australia",2022-03-27,50971
"Australia",2022-03-28,55738
"Australia",2022-03-29,65523
"Australia",2022-03-30,60239
"Australia",2022-03-31,65385
"Australia",2022-04-01,55097
"Australia",2022-04-02,48097
"Australia",2022-04-03,40610
"Australia",2022-04-04,55544
"Australia",2022-04-05,75797
"Australia",2022-04-06,62608
"Australia",2022-04-07,60481
"Australia",2022-04-08,49317
"Australia",2022-04-09,39025
"Australia",2022-04-10,48724
"Australia",2022-04-11,46267
"Australia",2022-04-12,53017
"Australia",2022-04-13,54709
"Australia",2022-04-14,46499
"Belgium",2020-02-04,1
"Belgium",2020-02-05,0
"Belgium",2020-02-06,0
"Belgium",2020-02-07,0
"Belgium",2020-02-08,0
"Belgium",2020-02-09,0
"Belgium",2020-02-10,0
"Belgium",2020-02-11,0
"Belgium",2020-02-12,0
"Belgium",2020-02-13,0
"Belgium",2020-02-14,0
"Belgium",2020-02-15,0
"Belgium",2020-02-16,0
"Belgium",2020-02-17,0
"Belgium",2020-02-18,0
"Belgium",2020-02-19,0
"Belgium",2020-02-20,0
"Belgium",2020-02-21,0
"Belgium",2020-02-22,0
"Belgium",2020-02-23,0
"Belgium",2020-02-24,0
"Belgium",2020-02-25,0
"Belgium",2020-02-26,0
"Belgium",2020-02-27,0
"Belgium",2020-02-28,0
"Belgium",2020-02-29,0
"Belgium",2020-03-01,1
"Belgium",2020-03-02,6
"Belgium",2020-03-03,5
"Belgium",2020-03-04,10
"Belgium",2020-03-05,27
"Belgium",2020-03-06,59
"Belgium",2020-03-07,60
"Belgium",2020-03-08,31
"Belgium",2020-03-09,39
"Belgium",2020-03-10,28
"Belgium",2020-03-11,47
"Belgium",2020-03-12,0
"Belgium",2020-03-13,245
"Belgium",2020-03-14,130
"Belgium",2020-03-15,197
"Belgium",2020-03-16,172
"Belgium",2020-03-17,185
"Belgium",2020-03-18,243
"Belgium",2020-03-19,309
"Belgium",2020-03-20,462
"Belgium",2020-03-21,558
"Belgium",2020-03-22,586
"Belgium",2020-03-23,342
"Belgium",2020-03-24,526
"Belgium",2020-03-25,668
"Belgium",2020-03-26,1298
"Belgium",2020-03-27,1049
"Belgium",2020-03-28,1850
"Belgium",2020-03-29,1702
"Belgium",2020-03-30,1063
"Belgium",2020-03-31,876
"Belgium",2020-04-01,1189
"Belgium",2020-04-02,1384
"Belgium",2020-04-03,1422
"Belgium",2020-04-04,1661
"Belgium",2020-04-05,1260
"Belgium",2020-04-06,1123
"Belgium",2020-04-07,1380
"Belgium",2020-04-08,1209
"Belgium",2020-04-09,1580
"Belgium",2020-04-10,1684
"Belgium",2020-04-11,1351
"Belgium",2020-04-12,1629
"Belgium",2020-04-13,942
"Belgium",2020-04-14,530
"Belgium",2020-04-15,2454
"Belgium",2020-04-16,1236
"Belgium",2020-04-17,1329
"Belgium",2020-04-18,1045
"Belgium",2020-04-19,1313
"Belgium",2020-04-20,1487
"Belgium",2020-04-21,973
"Belgium",2020-04-22,933
"Belgium",2020-04-23,908
"Belgium",2020-04-24,1496
"Belgium",2020-04-25,1032
"Belgium",2020-04-26,809
"Belgium",2020-04-27,553
"Belgium",2020-04-28,647
"Belgium",2020-04-29,525
"Belgium",2020-04-30,660
"Belgium",2020-05-01,513
"Belgium",2020-05-02,485
"Belgium",2020-05-03,389
"Belgium",2020-05-04,361
"Belgium",2020-05-05,242
"Belgium",2020-05-06,272
"Belgium",2020-05-07,639
"Belgium",2020-05-08,591
"Belgium",2020-05-09,585
"Belgium",2020-05-10,485
"Belgium",2020-05-11,368
"Belgium",2020-05-12,330
"Belgium",2020-05-13,202
"Belgium",2020-05-14,307
"Belgium",2020-05-15,356
"Belgium",2020-05-16,345
"Belgium",2020-05-17,291
"Belgium",2020-05-18,279
"Belgium",2020-05-19,232
"Belgium",2020-05-20,192
"Belgium",2020-05-21,252
"Belgium",2020-05-22,276
"Belgium",2020-05-23,299
"Belgium",2020-05-24,282
"Belgium",2020-05-25,250
"Belgium",2020-05-26,113
"Belgium",2020-05-27,137
"Belgium",2020-05-28,257
"Belgium",2020-05-29,212
"Belgium",2020-05-30,125
"Belgium",2020-05-31,195
"Belgium",2020-06-01,136
"Belgium",2020-06-02,98
"Belgium",2020-06-03,70
"Belgium",2020-06-04,82
"Belgium",2020-06-05,140
"Belgium",2020-06-06,165
"Belgium",2020-06-07,154
"Belgium",2020-06-08,122
"Belgium",2020-06-09,89
"Belgium",2020-06-10,132
"Belgium",2020-06-11,142
"Belgium",2020-06-12,108
"Belgium",2020-06-13,99
"Belgium",2020-06-14,111
"Belgium",2020-06-15,71
"Belgium",2020-06-16,55
"Belgium",2020-06-17,89
"Belgium",2020-06-18,104
"Belgium",2020-06-19,128
"Belgium",2020-06-20,74
"Belgium",2020-06-21,0
"Belgium",2020-06-22,0
"Belgium",2020-06-23,260
"Belgium",2020-06-24,88
"Belgium",2020-06-25,109
"Belgium",2020-06-26,99
"Belgium",2020-06-27,103
"Belgium",2020-06-28,86
"Belgium",2020-06-29,66
"Belgium",2020-06-30,66
"Belgium",2020-07-01,82
"Belgium",2020-07-02,89
"Belgium",2020-07-03,129
"Belgium",2020-07-04,111
"Belgium",2020-07-05,178
"Belgium",2020-07-06,42
"Belgium",2020-07-07,0
"Belgium",2020-07-08,65
"Belgium",2020-07-09,87
"Belgium",2020-07-10,147
